step,loss,lr
419,0.25713089,0.0000998311
420,0.15790620,0.0000998302
421,0.10855851,0.0000998294
422,0.06746338,0.0000998286
423,0.05396102,0.0000998278
424,0.08216870,0.0000998270
425,0.06675776,0.0000998262
426,0.11976995,0.0000998254
427,0.04852223,0.0000998245
428,0.16576737,0.0000998237
429,0.10129452,0.0000998229
430,0.05587447,0.0000998221
431,0.08088062,0.0000998212
432,0.10892449,0.0000998204
433,0.09411171,0.0000998196
434,0.09014703,0.0000998187
435,0.05607242,0.0000998179
436,0.07511192,0.0000998171
437,0.14658366,0.0000998162
438,0.04626895,0.0000998154
439,0.07092106,0.0000998146
440,0.05428873,0.0000998137
441,0.11508002,0.0000998129
442,0.06932409,0.0000998120
443,0.05298070,0.0000998112
444,0.09336539,0.0000998103
445,0.31438226,0.0000998094
446,0.03167025,0.0000998086
447,0.07103799,0.0000998077
448,0.03320423,0.0000998069
449,0.03757764,0.0000998060
450,0.08402751,0.0000998051
451,0.11542161,0.0000998043
452,0.10516754,0.0000998034
453,0.14819743,0.0000998025
454,0.05745957,0.0000998017
455,0.05564006,0.0000998008
456,0.05580736,0.0000997999
457,0.08043240,0.0000997990
458,0.04152577,0.0000997982
459,0.07894783,0.0000997973
460,0.02000720,0.0000997964
461,0.04295706,0.0000997955
462,0.04705304,0.0000997946
463,0.09456933,0.0000997937
464,0.04537414,0.0000997928
465,0.09617922,0.0000997919
466,0.13351737,0.0000997911
467,0.10301579,0.0000997902
468,0.05372348,0.0000997893
469,0.14751247,0.0000997884
470,0.12240408,0.0000997875
471,0.09881359,0.0000997865
472,0.05857436,0.0000997856
473,0.03902811,0.0000997847
474,0.04565029,0.0000997838
475,0.04628447,0.0000997829
476,0.05393476,0.0000997820
477,0.04285742,0.0000997811
478,0.06096802,0.0000997802
479,0.06085721,0.0000997792
480,0.08610047,0.0000997783
481,0.16436431,0.0000997774
482,0.07800524,0.0000997765
483,0.09171659,0.0000997755
484,0.04493647,0.0000997746
485,0.03888027,0.0000997737
486,0.04910879,0.0000997727
487,0.08466647,0.0000997718
488,0.03988955,0.0000997709
489,0.04173944,0.0000997699
490,0.14151403,0.0000997690
491,0.05570767,0.0000997681
492,0.05137514,0.0000997671
493,0.06207839,0.0000997662
494,0.12088285,0.0000997652
495,0.04147721,0.0000997643
496,0.10479702,0.0000997633
497,0.03964831,0.0000997624
498,0.12646177,0.0000997614
499,0.06894922,0.0000997604
500,0.08927409,0.0000997595
501,0.05268705,0.0000997585
502,0.05863426,0.0000997576
503,0.05040993,0.0000997566
504,0.07596368,0.0000997556
505,0.07775486,0.0000997546
506,0.07559258,0.0000997537
507,0.06339404,0.0000997527
508,0.09712464,0.0000997517
509,0.08637428,0.0000997507
510,0.02983456,0.0000997498
511,0.18725199,0.0000997488
512,0.11224005,0.0000997478
513,0.07087700,0.0000997468
514,0.05806048,0.0000997458
515,0.06978391,0.0000997448
516,0.90232730,0.0000997439
517,0.04317647,0.0000997429
518,0.12914574,0.0000997419
519,0.06238496,0.0000997409
520,0.08506022,0.0000997399
521,0.05712364,0.0000997389
522,0.05137134,0.0000997379
523,0.21631365,0.0000997369
524,0.09845440,0.0000997359
525,0.05841932,0.0000997348
526,0.07568701,0.0000997338
527,0.25828406,0.0000997328
528,0.06289708,0.0000997318
529,0.04035644,0.0000997308
530,0.05971023,0.0000997298
531,0.12551212,0.0000997288
532,0.06282680,0.0000997277
533,0.04058020,0.0000997267
534,0.03213211,0.0000997257
535,0.07912011,0.0000997247
536,0.04995546,0.0000997236
537,0.09776171,0.0000997226
538,0.11452407,0.0000997216
539,0.04328554,0.0000997205
540,0.07634626,0.0000997195
541,0.07413111,0.0000997185
542,0.08474071,0.0000997174
543,0.16219239,0.0000997164
544,0.06134538,0.0000997153
